ID,Status,Comment
tdd-anonymous-td-identifier,pass,passed:TestCreateAnonymousThing/registration_info passed:TestListThings/anonymous_td_id
tdd-anonymous-td-local-uuid,pass,passed:TestCreateAnonymousThing/location_header
tdd-http-error-response,pass,passed:TestCreateAnonymousThing/reject_invalid/response passed:TestCreateThing/reject_invalid/response passed:TestUpdateThing/reject_invalid/response passed:TestPatch/reject_invalid/response
tdd-http-head,pass,passed:TestSPARQL/HEAD passed:TestRetrieveThing/HEAD passed:TestListThings/HEAD
tdd-notification-data-diff-unsupported,fail,failed:TestCreateEvent/create_event_with_diff_subscriber/event_subscription_diff_unsupported failed:TestUpdateEvent/update_event_with_diff_subscriber/event_subscription_diff_unsupported failed:TestDeleteEvent/delete_event_with_diff_subscriber/event_subscription_diff_unsupported
tdd-notification-sse,fail,failed:TestCreateEvent/create_event_subscriber/event_subscription_errors failed:TestCreateEvent/all_event_subscriber/event_subscription_errors failed:TestUpdateEvent/update_event_subscriber/event_subscription_errors failed:TestUpdateEvent/all_event_subscriber/event_subscription_errors failed:TestDeleteEvent/delete_event_subscriber/event_subscription_errors failed:TestDeleteEvent/all_event_subscriber/event_subscription_errors
tdd-registrationinfo-vocab-created,pass,passed:TestRetrieveThing/registrationInfo_created passed:TestListThings/registrationInfo_created
tdd-registrationinfo-vocab-modified,pass,passed:TestRetrieveThing/registrationInfo_modified passed:TestListThings/registrationInfo_modified
tdd-search-sparql,pass,passed:TestSPARQL/search_using_GET passed:TestSPARQL/search_using_POST passed:TestSPARQL/federated_search_using_GET
tdd-search-sparql-federation,pass,passed:TestSPARQL/federated_search_using_GET
tdd-search-sparql-method-get,pass,passed:TestSPARQL/search_using_GET passed:TestSPARQL/federated_search_using_GET
tdd-search-sparql-method-post,pass,passed:TestSPARQL/search_using_POST
tdd-search-sparql-resp-select-ask,pass,passed:TestSPARQL/search_using_GET passed:TestSPARQL/search_using_POST passed:TestSPARQL/federated_search_using_GET
tdd-things-create-anonymous-contenttype,pass,passed:TestCreateAnonymousThing/submit_request
tdd-things-create-anonymous-td,pass,passed:TestCreateAnonymousThing/submit_request
tdd-things-create-anonymous-td-resp,pass,passed:TestCreateAnonymousThing/status_code passed:TestCreateAnonymousThing/location_header
tdd-things-create-known-td,pass,passed:TestCreateThing/request
tdd-things-create-known-td-resp,pass,passed:TestCreateThing/status_code
tdd-things-create-known-vs-anonymous,pass,passed:TestCreateAnonymousThing/reject_PUT
tdd-things-crud,pass,passed:TestCreateAnonymousThing/submit_request passed:TestCreateThing/request passed:TestRetrieveThing/submit_request passed:TestUpdateThing/submit_request passed:TestDelete/submit_request
tdd-things-crudl,pass,passed:TestCreateAnonymousThing/submit_request passed:TestCreateThing/request passed:TestRetrieveThing/submit_request passed:TestUpdateThing/submit_request passed:TestDelete/submit_request passed:TestListThings/submit_request
tdd-things-default-representation,pass,passed:TestRetrieveThing/content_type passed:TestListThings/content_type
tdd-things-delete,pass,passed:TestDelete/submit_request
tdd-things-delete-resp,pass,passed:TestDelete/status_code
tdd-things-list-method,pass,passed:TestListThings/submit_request passed:TestListThings/status_code
tdd-things-list-only,pass,passed:TestListThings/submit_request
tdd-things-list-resp,pass,passed:TestListThings/content_type passed:TestListThings/payload
tdd-things-retrieve,pass,passed:TestRetrieveThing/submit_request passed:TestRetrieveThing/payload
tdd-things-retrieve-resp,pass,passed:TestRetrieveThing/status_code passed:TestRetrieveThing/content_type
tdd-things-update,pass,passed:TestUpdateThing/submit_request passed:TestUpdateThing/payload
tdd-things-update-partial,pass,passed:TestPatch/replace_title/submit_request passed:TestPatch/replace_title/result passed:TestPatch/remove_description/submit_request passed:TestPatch/remove_description/result passed:TestPatch/update_properties/submit_request passed:TestPatch/update_properties/result passed:TestPatch/replace_array/submit_request passed:TestPatch/replace_array/result
tdd-things-update-partial-contenttype,pass,passed:TestPatch/replace_title/submit_request passed:TestPatch/remove_description/submit_request passed:TestPatch/update_properties/submit_request passed:TestPatch/replace_array/submit_request
tdd-things-update-partial-mergepatch,pass,passed:TestPatch/replace_title/result passed:TestPatch/remove_description/result passed:TestPatch/update_properties/result passed:TestPatch/replace_array/result
tdd-things-update-partial-partialtd,pass,passed:TestPatch/replace_title/submit_request passed:TestPatch/remove_description/submit_request passed:TestPatch/update_properties/submit_request passed:TestPatch/replace_array/submit_request
tdd-things-update-partial-resp,pass,passed:TestPatch/replace_title/status_code passed:TestPatch/remove_description/status_code passed:TestPatch/update_properties/status_code passed:TestPatch/replace_array/status_code
tdd-things-update-resp,pass,passed:TestUpdateThing/status_code
tdd-validation-response,pass,passed:TestCreateAnonymousThing/reject_invalid/validation passed:TestCreateThing/reject_invalid/validation passed:TestUpdateThing/reject_invalid/validation passed:TestPatch/reject_invalid/validation
tdd-validation-result,pass,passed:TestCreateAnonymousThing/reject_invalid/validation passed:TestCreateThing/reject_invalid/validation passed:TestUpdateThing/reject_invalid/validation passed:TestPatch/reject_invalid/validation
tdd-validation-syntactic,pass,passed:TestCreateAnonymousThing/reject_invalid/status passed:TestCreateThing/reject_invalid/status passed:TestUpdateThing/reject_invalid/status passed:TestPatch/reject_invalid/status
